Time [s], Analyzer Name, Decoded Protocol Result
5.066463583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066543416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066631166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066719000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066806833333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066894666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066982416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.067070250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.067150083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.067237833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.081703166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082118333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082198166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082285916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082373750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082461500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082549333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082637166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082725000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082804833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082892583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.082980416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.083068166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.083156000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.083243833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.083331666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.097764916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098164083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098251833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098331666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098419500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
